球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
约翰-德鲁,29,735,0.4310 ,151,350,0,0,0,0.725,103,142,140,24,21,5,48,103,405
尼古拉斯-巴通姆,39,1162,0.4270 ,149,349,0.337,58,172,0.8,48,60,177,103,26,13,62,72,404
凯尔-迈西,44,1258,0.4660 ,169,363,0.377,20,53,0.83,44,53,112,170,44,3,56,99,402
斯蒂芬-马布里,32,937,0.3550 ,150,422,0.273,27,99,0.75,75,100,82,146,29,0,74,75,402
阿伦-里维尔,63,1072,0.3660 ,138,377,0.295,13,44,0.863,113,131,80,203,58,8,75,109,402
詹姆斯-唐纳森,51,1379,0.6270 ,153,244,0,0,0,0.779,95,122,400,35,18,42,59,111,401
艾尔-哈灵顿,55,1121,0.3740 ,148,396,0.317,32,101,0.605,72,119,232,37,43,20,60,159,400
安东尼-皮勒,57,1418,0.3530 ,150,425,0.329,56,170,0.796,43,54,189,102,63,10,61,117,399
特里尔-布兰登,38,946,0.4570 ,165,361,0.381,16,42,0.897,52,58,122,163,31,9,67,66,398
马库斯-莫里斯,30,893,0.4110 ,136,331,0.426,52,122,0.763,74,97,164,37,10,10,30,90,398
安东尼-戴维斯,13,531,0.5260 ,153,291,0.25,6,24,0.85,85,100,165,23,23,33,36,42,397
拉里-怀特,49,870,0.4770 ,166,348,0,0,0,0.802,65,81,65,133,37,7,0,131,397
詹姆斯-塞拉斯,27,745,0.4480 ,148,330,0,0,0,0.808,101,125,64,95,32,2,60,57,397
查理-沃德,72,1567,0.4220 ,147,348,0.349,58,166,0.71,44,62,183,264,105,10,92,146,396
简-亨弗里斯,41,1104,0.4670 ,151,323,0.268,15,56,0.782,79,101,93,187,32,5,57,123,396
鲁西奥斯-哈里斯,54,1087,0.4290 ,140,326,0.319,22,69,0.803,94,117,136,61,31,1,45,95,396
Al0Attles,62,1504,0.4030 ,154,382,0,0,0,0.544,86,158,245,206,0,0,0,246,394
Frankie0Brian,43,0,0.3470 ,134,386,0,0,0,0.818,126,154,0,93,0,0,0,105,394
迈克-戈明斯基,35,917,0.4850 ,148,305,0,0,5,0.795,97,122,193,29,22,57,48,72,393
凯利-特里普卡,25,750,0.4620 ,145,314,0,0,5,0.856,101,118,93,57,22,5,61,65,391
尼克-科里森,91,1525,0.5580 ,164,294,0.429,3,7,0.682,60,88,348,71,52,44,52,256,391
乔-戈拉伯斯基,40,0,0.3280 ,157,479,0,0,0,0.735,75,102,0,73,0,0,0,104,389
克里斯-安德森,73,1253,0.6310 ,137,217,0,0,2,0.689,115,167,364,27,26,90,42,158,389
沃尚-莱纳德,31,952,0.4310 ,131,304,0.419,65,155,0.813,61,75,83,58,16,6,51,86,388
西伊-格林,41,1111,0.4330 ,156,360,0,0,0,0.613,76,124,222,165,0,0,0,121,388
里基-索伯斯,29,875,0.4550 ,156,343,0,0,0,0.835,71,85,79,117,27,8,0,122,387
Chuck0Share,54,1076,0.4350 ,124,285,0,0,0,0.659,135,205,352,59,0,0,0,224,383
伍迪-桑德贝里,29,995,0.3510 ,174,496,0,0,0,0.565,35,62,259,52,0,0,0,118,383
何塞-巴里亚,48,953,0.4170 ,153,367,0.32,32,100,0.746,44,59,97,174,14,1,59,74,382
科里-布鲁尔,47,936,0.4000 ,140,350,0.279,34,122,0.694,68,98,94,46,35,13,34,113,382
达伦-科里森,40,926,0.4360 ,139,319,0.333,21,63,0.835,81,97,87,133,34,3,51,53,380
丹尼-格兰杰,35,894,0.4170 ,141,338,0.358,48,134,0.842,48,57,141,56,22,13,46,87,378
乔丹-法玛尔,73,1149,0.3890 ,138,355,0.355,55,155,0.793,46,58,108,116,42,9,70,86,377
卢克-沃顿,88,1282,0.4200 ,145,345,0.36,32,89,0.701,54,77,204,151,47,13,86,156,376
厄尔尼-格伦菲尔德,42,944,0.4880 ,146,299,0,0,0,0.827,81,98,92,121,43,12,63,89,375
多诺万-米切尔,16,605,0.3890 ,138,355,0.293,36,123,0.829,63,76,90,62,24,5,53,50,375
格兰特-朗,42,1180,0.4110 ,132,321,0.2,7,35,0.756,102,135,243,59,41,10,66,104,373
格雷格-奥斯特塔格,89,1768,0.4650 ,139,299,0,0,0,0.573,94,164,482,31,29,165,68,247,372
戈登-海沃德,22,750,0.4120 ,114,277,0.374,37,99,0.955,106,111,109,69,18,5,39,43,371
纳兹尔-穆罕穆德,86,1141,0.5150 ,150,291,0.667,2,3,0.639,69,108,307,17,30,52,52,176,371
吉姆-华盛顿,42,1106,0.4440 ,151,340,0,0,0,0.598,67,112,300,58,0,0,0,111,369
卡尔-兰德里,37,807,0.5040 ,133,264,0,0,2,0.745,102,137,171,26,22,13,47,89,368
肯尼-凯尔,35,893,0.5120 ,153,299,0,0,0,0.729,62,85,230,37,18,12,65,126,368
扎扎-帕楚里亚,75,1221,0.4430 ,121,273,0,0,2,0.735,125,170,333,59,35,20,66,197,367
维尔-佩尔多,108,1256,0.5270 ,139,264,0.25,1,4,0.633,88,139,377,34,15,42,73,206,367
莱韦斯-洛依德,25,763,0.4840 ,154,318,0.4,2,5,0.792,57,72,95,111,23,14,57,59,367
达夫-甘比,43,840,0.3560 ,118,331,0,0,0,0.834,131,157,188,36,0,0,0,143,367
特伦特-塔克,66,1059,0.4490 ,142,316,0.417,50,120,0.698,30,43,94,100,44,5,38,107,364
凯文-波特,33,971,0.4630 ,150,324,0,0,0,0.649,63,97,68,191,0,0,0,128,363
克莱德-李,51,1398,0.3970 ,146,368,0,0,0,0.586,68,116,519,61,0,0,0,157,360
特里-罗林斯,93,1804,0.5050 ,146,289,0,0,0,0.624,68,109,432,29,33,134,79,269,360
山顿-安德森,74,1275,0.4460 ,133,298,0.354,17,48,0.697,76,109,192,68,31,7,77,129,359
弗莱德-黑特泽尔,35,742,0.4270 ,138,323,0,0,0,0.814,83,102,184,44,0,0,0,95,359
厄尔-洛依德,44,1115,0.3370 ,131,389,0,0,0,0.744,96,129,254,82,0,0,0,171,358
M·L·凯尔,67,1005,0.3820 ,142,372,0,0,0,0.714,65,91,129,64,38,10,0,111,354
达雷尔-伊姆霍夫,54,1251,0.4780 ,139,291,0,0,0,0.58,76,131,442,101,0,0,0,179,354
雷杰-金,23,788,0.4880 ,137,281,0,0,1,0.721,80,111,191,35,21,13,44,73,354
安德鲁-博古特,67,1400,0.5670 ,164,289,0,0,3,0.397,25,63,486,119,36,90,80,221,353
约翰-巴特尔,55,719,0.4290 ,124,289,0.182,4,22,0.848,95,112,72,80,13,1,55,70,347
奎因·巴克纳,68,1057,0.4390 ,148,337,0,0,0,0.61,50,82,115,170,64,1,95,170,346
肯尼-安德森,36,1004,0.4060 ,132,325,0.276,8,29,0.796,74,93,85,135,42,1,58,89,346
达雷尔-阿姆斯特朗,51,1119,0.3980 ,113,284,0.287,39,136,0.9,81,90,117,127,48,6,83,96,346
布莱尔-拉斯姆森,29,632,0.4430 ,140,316,0,0,0,0.802,65,81,180,25,10,27,21,84,345
钱宁-弗莱,49,861,0.4600 ,120,261,0.444,76,171,0.879,29,33,156,34,21,22,15,103,345
伊塞亚-莱德尔,21,753,0.4180 ,114,273,0.34,18,53,0.86,98,114,78,65,19,0,61,52,344
奈伊尔-约翰斯顿,23,702,0.3900 ,121,310,0,0,0,0.734,102,139,257,75,0,0,0,76,344
弗拉迪米尔-拉德马诺维奇,47,987,0.4400 ,128,291,0.396,63,159,0.735,25,34,165,54,27,11,41,115,344
布鲁克-洛佩斯,20,695,0.4790 ,126,263,0.364,12,33,0.849,79,93,140,25,11,51,27,56,343
马文-威廉姆斯,49,1227,0.3680 ,117,318,0.365,19,52,0.832,89,107,208,36,31,22,41,87,342
布拉德-戴维斯,45,950,0.5300 ,125,236,0.438,14,32,0.846,77,91,75,167,16,6,74,89,341
戴尔-库里,51,891,0.4000 ,126,315,0.35,41,117,0.87,47,54,87,57,40,7,41,81,340
杰拉德-格林,65,785,0.3940 ,121,307,0.378,71,188,0.844,27,32,111,15,13,13,29,87,340
加里-尼尔,45,822,0.4010 ,126,314,0.345,48,139,0.907,39,43,89,43,6,2,34,74,339
布兰登-海伍德,54,1139,0.5610 ,119,212,0,0,0,0.598,101,169,263,29,31,70,42,164,339
鲍伯-哈里森,59,0,0.3850 ,138,358,0,0,0,0.689,62,90,0,118,0,0,0,189,338
乔-史密斯,62,1078,0.4510 ,128,284,0.375,3,8,0.78,78,100,243,20,23,38,34,151,337
博扬-博格达诺维奇,30,856,0.4000 ,116,290,0.352,51,145,0.803,53,66,126,43,24,3,35,59,336
迪克-范阿斯戴尔,34,968,0.4220 ,124,294,0,0,0,0.838,88,105,82,94,0,0,0,89,336
阿隆-布鲁克斯,40,703,0.4160 ,123,296,0.33,37,112,0.746,53,71,68,70,9,5,48,59,336
霍华德-波特,36,663,0.4590 ,151,329,0,0,0,0.846,33,39,152,18,0,0,0,59,335
Slick0Leonard,34,924,0.3570 ,130,364,0,0,0,0.755,74,98,90,165,0,0,0,77,334
埃里克-布莱索,31,697,0.4930 ,132,268,0.292,21,72,0.671,49,73,88,101,32,17,51,64,334
贾马尔-马格洛伊尔,46,911,0.4700 ,109,232,0,0,1,0.682,116,170,244,23,10,40,52,115,334
卡蒂诺-莫布里,26,935,0.4220 ,128,303,0.337,28,83,0.86,49,57,99,58,19,8,52,66,333
埃内斯-坎特,35,678,0.5380 ,133,247,0.176,3,17,0.853,64,75,218,18,13,26,35,77,333
帕特里克-贝弗利,34,1051,0.3960 ,122,308,0.366,52,142,0.822,37,45,189,100,34,15,42,121,333
乔尔-恩比德,15,464,0.4440 ,110,248,0.288,15,52,0.78,96,123,179,48,11,31,50,50,331
坎比-拉塞尔,20,605,0.4170 ,120,288,0,0,0,0.843,91,108,121,44,18,10,0,79,331
达蒙-琼斯,59,1169,0.4270 ,114,267,0.382,71,186,0.66,31,47,107,146,19,0,36,80,330
吉姆-克莱布斯,62,1129,0.3620 ,127,351,0,0,0,0.781,75,96,348,53,0,0,0,211,329
弗林-罗宾逊,27,626,0.4060 ,129,318,0,0,0,0.795,70,88,54,76,0,0,0,57,328
艾尔伯特-金,21,624,0.4530 ,135,298,0.333,3,9,0.73,54,74,110,49,26,8,47,81,327
琼-巴里,62,928,0.4040 ,109,270,0.403,60,149,0.857,48,56,118,85,32,3,52,69,326
迈克-纽林,22,682,0.5000 ,135,270,0,0,0,0.846,55,65,73,103,28,1,0,72,325
萨沙-武贾西奇,65,954,0.3660 ,105,287,0.384,63,164,0.879,51,58,107,42,29,8,37,104,324
C.J.0Miles,44,822,0.4070 ,111,273,0.315,45,143,0.848,56,66,93,42,20,12,38,100,323
Chick0Halbert,26,0,0.2660 ,106,399,0,0,0,0.603,111,184,0,10,0,0,0,84,323
柯蒂斯-罗威,28,927,0.4810 ,127,264,0,0,0,0.726,69,95,220,62,11,23,0,85,323
艾森-伊利亚索瓦,40,871,0.4020 ,119,296,0.29,29,100,0.747,56,75,255,40,25,13,39,81,323
乔治-塞内斯基,32,0,0.3200 ,125,391,0,0,0,0.699,72,103,0,51,0,0,0,71,322
吉姆-琼恩斯,36,959,0.4360 ,136,312,0,0,0,0.641,50,78,223,47,13,20,0,116,322
肯达尔-吉尔,27,796,0.4080 ,128,314,0.259,7,27,0.686,59,86,100,56,39,10,37,74,322
Pep0Saul,49,0,0.4280 ,116,271,0,0,0,0.73,89,122,0,87,0,0,0,119,321
吉姆-巴奈特,30,669,0.4190 ,127,303,0,0,0,0.807,67,83,74,78,0,0,0,64,321
斯波特-韦伯,39,725,0.4580 ,114,249,0.304,7,23,0.819,86,105,85,198,30,2,51,64,321
雷-斯科特,25,782,0.3900 ,130,333,0,0,0,0.598,61,102,246,60,0,0,0,82,321
吉姆-劳斯库托夫,58,997,0.3240 ,136,420,0,0,0,0.608,48,79,299,32,0,0,0,219,320
迪-布朗,31,782,0.4490 ,122,272,0.291,16,55,0.857,60,70,88,112,23,15,44,79,320
马利斯-斯贝茨,60,585,0.4100 ,120,293,0.397,25,63,0.671,55,82,152,24,14,22,34,104,320
鲍伯-费里,42,681,0.4510 ,115,255,0,0,0,0.621,90,145,198,46,0,0,0,70,320
罗纳德-穆雷,45,1035,0.3390 ,109,322,0.256,23,90,0.821,78,95,100,78,27,8,34,67,319
丹尼尔-吉布森,50,881,0.4150 ,100,241,0.407,57,140,0.871,61,70,61,55,20,9,33,73,318
文-贝克,24,749,0.4910 ,138,281,0.5,1,2,0.534,39,73,169,33,29,25,44,88,316
迈尔-哈特金斯,27,1024,0.3550 ,118,332,0,0,0,0.661,80,121,237,70,0,0,0,100,316
唐耶尔-马绍尔,47,884,0.3990 ,117,293,0.345,40,116,0.774,41,53,190,32,16,25,34,87,315
尼古拉-米罗蒂奇,33,781,0.4020 ,109,271,0.351,52,148,0.804,45,56,169,38,25,22,29,73,315
杰森-科林斯,95,2042,0.4000 ,102,255,0,0,2,0.677,111,164,365,48,41,36,91,344,315
贾莱特-杰克,24,690,0.4880 ,118,242,0.273,12,44,0.87,67,77,93,96,19,6,66,44,315
迈克-布拉茨,37,666,0.4540 ,119,262,0,0,0,0.788,63,80,59,96,33,3,56,82,315
杰夫-卢兰德,17,640,0.5210 ,110,211,0,0,4,0.775,93,120,163,67,14,13,71,60,313
达内尔-瓦伦丁,26,707,0.4600 ,114,248,0.5,1,2,0.884,84,95,50,177,40,4,56,79,313
克里夫-莱温斯顿,82,1047,0.5020 ,120,239,0.5,2,4,0.667,70,105,233,33,27,37,42,162,312
汤姆-伯尔森,15,572,0.5420 ,123,227,0,0,0,0.756,65,86,153,23,13,26,0,54,311
奥托-波特,31,925,0.4900 ,118,241,0.333,28,84,0.719,46,64,195,49,39,14,19,48,310
帕特里克-帕特森,47,1132,0.4310 ,109,253,0.338,45,133,0.852,46,54,169,61,21,14,36,61,309
查基-阿特金斯,36,846,0.3740 ,107,286,0.355,39,110,0.8,56,70,62,87,28,1,46,81,309
鲍伯-格罗斯,25,694,0.5840 ,122,209,0,0,0,0.851,63,74,124,89,35,17,0,101,307
阿德里安-史密斯,36,746,0.3790 ,107,282,0,0,0,0.821,92,112,61,80,0,0,0,60,306
鲁迪-戈波特,25,780,0.6370 ,114,179,0,0,0,0.588,77,131,258,29,22,50,39,80,305
毕森-德勒,39,791,0.5290 ,126,238,0,0,0,0.612,52,85,210,25,26,22,48,139,304
米奇-约翰逊,22,559,0.4660 ,109,234,0,0,0,0.832,84,101,129,40,24,13,0,74,302
阿尔蒙-吉列姆,34,692,0.4440 ,111,250,0,0,1,0.784,80,102,156,18,14,20,40,53,302
大卫-温盖特,59,884,0.4540 ,119,262,0.432,19,44,0.667,44,66,114,94,38,8,43,115,301
雷-法利克斯,38,836,0.4190 ,106,253,0,0,0,0.701,89,127,290,29,0,0,0,143,301
Bucky0Bockhorn,26,865,0.4070 ,124,305,0,0,0,0.776,52,67,103,98,0,0,0,95,300
安德烈斯-诺西奥尼,23,639,0.4380 ,105,240,0.367,29,79,0.789,60,76,139,31,8,13,39,67,299
里夫-拉弗伦茨,35,921,0.4460 ,123,276,0.297,22,74,0.75,30,40,183,18,19,77,27,152,298
德拉赞-皮特洛维奇,29,609,0.4740 ,119,251,0.324,11,34,0.696,48,69,51,42,12,1,50,68,297
阿隆-威廉姆斯,53,912,0.4790 ,114,238,0,0,1,0.775,69,89,180,38,14,41,52,173,297
诺里斯-科尔,68,1126,0.4210 ,110,261,0.382,39,102,0.783,36,46,79,98,31,5,57,117,295
贾马尔-廷斯利,41,1012,0.3980 ,115,289,0.293,27,92,0.72,36,50,106,208,51,6,85,127,293
杰纳-班克斯,27,702,0.5040 ,129,256,0,0,3,0.596,34,57,137,67,16,4,35,63,292
迈克-斯科特,44,755,0.4670 ,112,240,0.33,36,109,0.842,32,38,146,20,14,4,27,73,292
德里克-费弗斯,31,730,0.5740 ,116,202,0.25,2,8,0.548,57,104,192,29,25,32,24,65,291
内纳德-科斯蒂奇,28,705,0.5050 ,112,222,0,0,0,0.767,66,86,152,21,9,20,36,89,290
弗兰克-约翰逊,54,801,0.3970 ,102,257,0.276,8,29,0.857,78,91,63,126,31,0,60,87,290
布奇-贝尔德,32,754,0.4440 ,115,259,0,0,0,0.663,59,89,119,88,0,0,0,105,289
香农-布朗,55,766,0.4220 ,106,251,0.341,28,82,0.727,48,66,73,40,26,11,32,74,288
兰迪-布鲁尔,60,870,0.5160 ,115,223,0,0,0,0.6,57,95,186,26,23,44,30,129,287
埃里克-丹皮尔,61,1321,0.5410 ,112,207,0,0,2,0.525,63,120,370,24,24,60,59,219,287
肯杨-杜林,63,793,0.4420 ,106,240,0.384,33,86,0.824,42,51,53,55,21,7,28,107,287
艾利克斯-汉纳姆,43,0,0.3940 ,108,274,0,0,0,0.565,70,124,0,52,0,0,0,199,286
贾维尔-麦基,44,609,0.6100 ,122,200,0,0,1,0.545,42,77,191,13,15,54,31,92,286
史蒂夫-库佩斯基,50,614,0.4600 ,110,239,0,0,0,0.774,65,84,148,24,0,0,0,85,285
Billy0Kenville,41,761,0.3970 ,89,224,0,0,0,0.693,106,153,116,60,0,0,0,103,284
沃恩-弗莱明,37,755,0.4660 ,109,234,0.143,2,14,0.771,64,83,86,114,22,7,57,69,284
迈克尔-里德,16,505,0.4520 ,99,219,0.34,16,47,0.864,70,81,73,32,6,1,36,42,284
迪克-伽马克,21,668,0.3790 ,96,253,0,0,0,0.821,92,112,98,67,0,0,0,71,284
迈克-邓利维,32,768,0.4800 ,95,198,0.451,51,113,0.84,42,50,93,61,20,6,30,49,283
米切尔-雷-理查德森,18,712,0.3860 ,108,280,0.207,6,29,0.69,60,87,99,129,50,4,50,63,282
PJ-塔克,35,1114,0.4350 ,94,216,0.427,61,143,0.711,32,45,226,46,29,22,27,99,281
尼克-威瑟斯庞,31,715,0.4890 ,115,235,0,0,0,0.699,51,73,150,26,18,8,0,95,281
怀特伊-斯库克,34,931,0.4020 ,115,286,0,0,0,0.685,50,73,125,70,0,0,0,130,280
本-西蒙斯,18,650,0.5380 ,112,208,0,0,1,0.663,55,83,151,130,27,15,66,60,279
莫里斯-埃文斯,56,934,0.4470 ,106,237,0.392,40,102,0.771,27,35,83,28,28,5,20,80,279
马修-德拉维多瓦,52,972,0.3540 ,93,263,0.303,40,132,0.779,53,68,73,137,13,1,62,94,279
维斯里-珀森,27,783,0.4170 ,98,235,0.373,50,134,0.821,32,39,87,31,14,6,20,36,278
阿尔尼-约翰逊,29,0,0.3830 ,77,201,0,0,0,0.752,124,165,0,82,0,0,0,137,278
马克-布莱恩特,79,967,0.4690 ,113,241,0,0,2,0.732,52,71,194,14,17,14,44,157,278
马奎斯-丹尼尔斯,65,731,0.4490 ,105,234,0.208,5,24,0.733,63,86,110,63,24,8,46,75,278
Kleggie0Hermsen,26,0,0.2610 ,86,330,0,0,0,0.689,104,151,0,29,0,0,0,116,276
内特-罗宾逊,32,544,0.4150 ,97,234,0.337,35,104,0.776,45,58,46,72,18,3,39,55,274
约翰-特雷斯万特,40,862,0.4140 ,104,251,0,0,0,0.695,66,95,246,44,0,0,0,115,274
萨姆-拉西,29,1074,0.4010 ,107,267,0,0,0,0.776,59,76,287,144,56,44,0,113,274
达尼罗-加里纳利,18,567,0.3710 ,92,248,0.296,24,81,0.833,65,78,90,43,17,5,28,46,273
鲁迪-盖伊,19,614,0.4100 ,102,249,0.286,16,56,0.788,52,66,124,33,20,8,37,44,272
凯文-贾姆伯,31,755,0.4860 ,121,249,0.333,5,15,0.727,24,33,66,56,23,9,23,63,271
Hot0Rod0Hundley,53,1020,0.3200 ,101,316,0,0,0,0.716,68,95,149,157,0,0,0,80,270
朱万-霍华德,49,859,0.3940 ,99,251,0,0,0,0.758,72,95,159,32,14,8,26,87,270
科勒姆恩-约翰逊,66,1118,0.4650 ,107,230,0,0,0,0.609,56,92,238,26,33,52,52,139,270
昆廷-理查德森,36,897,0.4040 ,95,235,0.397,50,126,0.674,29,43,136,37,29,5,28,86,269
格雷格-史密斯,24,783,0.5270 ,117,222,0,0,0,0.565,35,62,205,58,0,0,0,79,269
赫姆-吉列姆,36,751,0.3970 ,120,302,0,0,0,0.806,29,36,93,108,0,0,0,73,269
Bill0Gabor,36,0,0.3100 ,92,297,0,0,0,0.728,83,114,0,74,0,0,0,115,267
埃尔文-约翰逊,77,1582,0.4620 ,104,225,0,0,0,0.678,59,87,468,36,39,82,41,219,267
埃迪-豪斯,66,680,0.3910 ,101,258,0.368,39,106,0.867,26,30,65,48,25,4,27,66,267
肯特-贝兹莫尔,41,796,0.3790 ,96,253,0.254,29,114,0.648,46,71,147,54,31,20,39,57,267
萨姆-米切尔,59,854,0.3980 ,98,246,0.207,6,29,0.813,65,80,130,34,10,9,39,122,267
罗恩-安德森,27,621,0.4440 ,106,239,0.364,4,11,0.926,50,54,80,46,11,2,29,58,266
T.R.-邓恩,76,1634,0.4470 ,109,244,0,0,0,0.691,47,68,317,104,95,13,51,180,265
布鲁-爱德华兹,34,722,0.4730 ,107,226,0.313,5,16,0.767,46,60,103,44,40,6,55,101,265
杰里-贝勒斯,30,619,0.3740 ,91,243,0.317,26,82,0.814,57,70,62,74,11,8,29,68,265
艾尔-杰弗森,21,548,0.4940 ,121,245,0,0,1,0.676,23,34,150,22,14,19,16,45,265
斯塔塞-金,61,719,0.3920 ,89,227,0.5,2,4,0.737,84,114,136,31,21,15,50,98,264
罗尼-布鲁尔,47,852,0.4710 ,105,223,0.267,4,15,0.676,50,74,121,58,36,12,27,61,264
莱恩-安德森,46,931,0.3630 ,91,251,0.325,49,151,0.917,33,36,168,32,17,10,31,96,264
O.J.-梅奥,26,679,0.3480 ,87,250,0.359,33,92,0.824,56,68,86,64,27,6,44,74,263
乔-英格尔斯,27,866,0.4270 ,94,220,0.395,58,147,0.654,17,26,113,98,39,7,50,71,263
阿米尔-约翰逊,52,737,0.6330 ,114,180,0.111,1,9,0.654,34,52,183,28,11,26,41,102,263
C.J.沃特森,48,802,0.3630 ,94,259,0.314,27,86,0.701,47,67,84,95,34,2,39,70,262
埃尔文-罗波特森,13,490,0.5150 ,102,198,0.353,6,17,0.754,52,69,69,81,36,2,39,53,262
杰拉德-华莱士,33,689,0.4550 ,87,191,0.333,19,57,0.726,69,95,128,45,22,17,34,59,262
罗德-希金斯,33,733,0.4390 ,90,205,0.296,21,71,0.813,61,75,113,55,28,22,23,78,262
乔伊-巴里-卡罗尔,19,511,0.4490 ,105,234,0,0,1,0.797,51,64,94,26,18,32,38,60,261
迈克尔-凯奇,53,1105,0.5230 ,113,216,0,0,2,0.493,35,71,302,30,37,34,39,120,261
阿隆-威廉姆斯,32,671,0.4190 ,104,248,0,0,0,0.881,52,59,57,94,0,0,0,76,260
乔治-拉特科维茨,24,0,0.4100 ,80,195,0,0,0,0.669,99,148,0,38,0,0,0,94,259
何塞-卡尔德隆,40,645,0.4590 ,107,233,0.372,32,86,0.929,13,14,56,125,15,1,37,67,259
约翰-萨尔蒙斯,28,695,0.3930 ,92,234,0.243,18,74,0.877,57,65,66,50,21,11,27,48,259
罗宾-洛佩斯,28,749,0.5530 ,105,190,0,0,0,0.803,49,61,190,17,11,32,27,79,259
里奇-凯雷,45,860,0.4670 ,92,197,0,0,2,0.798,75,94,246,105,39,24,69,133,259
马特-邦纳,94,1035,0.4020 ,90,224,0.355,49,138,0.811,30,37,156,35,16,17,21,135,259
乔治-特拉普,31,518,0.4620 ,115,249,0,0,0,0.7,28,40,118,23,0,0,0,89,258
弗莱迪-克劳福德,35,606,0.4170 ,105,252,0,0,0,0.632,48,76,97,73,0,0,0,89,258
沃利-奥斯特科恩,33,908,0.3580 ,83,232,0,0,0,0.586,92,157,207,70,0,0,0,97,258
罗伊-斯帕罗,30,782,0.4170 ,100,240,0.313,5,16,0.8,52,65,51,161,26,1,54,82,257
奥斯汀-里弗斯,30,622,0.4310 ,100,232,0.375,33,88,0.657,23,35,61,38,16,6,30,66,256
罗德尼-胡德,36,706,0.3950 ,98,248,0.263,26,99,0.723,34,47,75,36,12,7,26,73,256
艾尔-法拉利,33,736,0.3910 ,81,207,0,0,0,0.723,94,130,79,75,0,0,0,97,256
迈克尔-亚当斯,20,679,0.3700 ,85,230,0.327,35,107,0.85,51,60,67,103,32,2,44,41,256
凯文-马丁,22,571,0.3890 ,79,203,0.37,27,73,0.933,70,75,68,20,11,5,19,34,255
季莫费-莫兹戈夫,40,698,0.4890 ,92,188,0,0,0,0.763,71,93,190,18,13,45,50,89,255
泰伦斯-罗斯,36,747,0.3650 ,91,249,0.305,43,141,0.714,30,42,70,24,28,14,36,67,255
马特-古奥卡斯,60,1072,0.4170 ,101,242,0,0,0,0.776,52,67,118,98,0,0,0,121,254
拉苏-内斯特洛维奇,64,1102,0.4680 ,117,250,0.5,1,2,0.5,18,36,229,38,13,39,40,160,253
理查德-大仲马/小仲马,26,504,0.5190 ,108,208,0,0,2,0.755,37,49,66,24,21,13,28,52,253
艾德-康林,35,665,0.3250 ,94,289,0,0,0,0.677,65,96,120,39,0,0,0,60,253
休伯特-戴维斯,49,821,0.4090 ,92,225,0.373,31,83,0.75,36,48,46,44,12,8,48,83,251
保罗-莫科斯基,69,815,0.4860 ,89,183,0.25,1,4,0.742,72,97,207,33,26,23,39,166,251
帕特-莱利,44,641,0.3740 ,111,297,0,0,0,0.763,29,38,66,52,0,0,0,86,251
Cliff0Robinson,17,462,0.4730 ,104,220,0,0,0,0.636,42,66,122,28,20,13,28,54,250
汤姆-波尔温克勒,35,785,0.4590 ,107,233,0,0,0,0.75,36,48,330,123,0,0,0,94,250
J.R.-瑞德,47,784,0.4370 ,86,197,0,0,3,0.794,77,97,167,33,23,21,43,135,249
凯利-奥利尼克,31,578,0.4870 ,93,191,0.347,26,75,0.712,37,52,89,58,23,22,38,83,249
唐-Carlson,31,0,0.2950 ,98,332,0,0,0,0.631,53,84,0,45,0,0,0,80,249
帕斯卡尔-西亚卡姆,20,485,0.5370 ,101,188,0.4,16,40,0.705,31,44,98,29,8,12,17,49,249
丹尼-费里,67,961,0.3740 ,92,246,0.368,46,125,0.75,18,24,144,63,16,8,27,116,248
乔治-约翰逊,59,1043,0.5510 ,103,187,0,0,0,0.618,42,68,361,55,0,0,0,165,248
威利-诺尔斯,35,485,0.3710 ,99,267,0,0,0,0.746,50,67,134,21,0,0,0,92,248
尼科拉-约季奇,10,403,0.4970 ,93,187,0.395,17,43,0.849,45,53,126,91,13,9,24,35,248
弗莱德-谢奥斯,21,0,0.3390 ,78,230,0,0,0,0.82,91,111,0,55,0,0,0,86,247
李-沙夫,13,387,0.4160 ,99,238,0,0,0,0.778,49,63,82,15,0,0,0,41,247
DJ-奥古斯丁,33,672,0.3630 ,73,201,0.376,38,101,0.847,61,72,35,63,13,2,30,53,245
伊恩-克拉克,41,565,0.4750 ,94,198,0.354,29,82,0.903,28,31,53,38,22,2,29,55,245
安东尼-罗伯茨,16,480,0.4270 ,99,232,0,0,0,0.77,47,61,121,36,13,7,30,66,245
布兰登-罗伊,15,459,0.4420 ,88,199,0.326,14,43,0.809,55,68,49,39,9,7,20,35,245
贾仑-杰克逊,39,728,0.3620 ,85,235,0.333,49,147,0.658,25,38,89,37,21,1,38,81,244
雷杰-瑟乌斯,17,542,0.4100 ,89,217,0.133,2,15,0.831,64,77,47,97,18,2,48,58,244
沃利-沃克,64,743,0.4560 ,99,217,0,0,0,0.692,45,65,123,44,16,11,0,136,243
罗德尼-斯塔基,28,634,0.3820 ,84,220,0.28,7,25,0.84,68,81,56,93,22,3,35,53,243
莫里斯-哈克利斯,25,656,0.4250 ,94,221,0.295,23,78,0.593,32,54,126,25,25,19,25,91,243
